sample_name,env_type,env_00,env_01,env_02,nif_type,mapped_16106_16s_type,y,x,convertedthetao_mean_Layer,re_type
SRR5150128.SRS1900454,overlap,aquatic;marine,aquatic,sea,11,102,51.85,2.99,12.4948708326256,0.107843137254902
ERR4314931.ERS4799777,overlap,aquatic;marine,aquatic,sea,2,30,58.583,18.233,8.95516722031785,0.0666666666666667
SRR7037155.SRS2834828,parallel,aquatic;marine,aquatic,sea,1,68,-34.119,151.227,20.4315708716673,0.0147058823529412
SRR7594537.SRS2834816,parallel,aquatic;marine,aquatic,sea,1,47,-27.345,153.562,24.0868335801995,0.0212765957446809
SRR7949678.SRS3870188,parallel,aquatic;sea,aquatic,sea,3,119,36.831,-121.905,12.3411170362755,0.0252100840336134
SRR8652000.SRS4426079,parallel,aquatic;ocean,aquatic,sea,19,290,42.11,-70.54,10.7533664544556,0.0655172413793104
SRR2168162.SRS1036798,parallel,aquatic;marine,aquatic,sea,6,97,21.318,-64.658,27.157013322207,0.0618556701030928
SRR2168155.SRS1036805,parallel,aquatic;marine,aquatic,sea,8,122,17.982,-64.573,27.5851714359329,0.0655737704918033
SRR6242198.SRS2649177,overlap,aquatic;marine,aquatic,sea,3,60,27.89,-94.036,25.3504898133669,0.05
SRR4434899.SRS1753781,parallel,aquatic;marine,aquatic,sea,4,45,22.45,-158,24.9840724329664,0.0888888888888889
SRR3933457.SRS1572607,parallel,aquatic;sea,aquatic,sea,65,746,43.858,-60.157,8.71757915737759,0.0871313672922252
SRR10445290.SRS5648343,parallel,aquatic;sea,aquatic,sea,34,178,-38.45,144.09,15.9786123863795,0.191011235955056
SRR9658301.SRS5076455,parallel,aquatic;sea,aquatic,sea,0,16,16.525,111.768,27.5654917395138,0
SRR8284881.SRS4109962,parallel,aquatic;sea,aquatic,sea,1,53,34.75,119.32,16.0065627097185,0.0188679245283019
SRR8651998.SRS4426080,parallel,aquatic;ocean,aquatic,sea,9,173,42.11,-70.54,10.7533664544556,0.0520231213872832
